version,month,day,year
1.21,December,4,2025
1.20,August,27,2025
1.19,August,20,2025
1.18,May,8,2025
1.17,February,12,2025
1.16,December,20,2024
1.15,July,23,2024
1.14,May,30,2024
1.13,April,30,2024
1.12,February,5,2024
1.11,October,31,2023
1.10,October,30,2023
1.9,April,24,2023
1.8,December,16,2022
1.7,December,13,2022
1.6,October,20,2022
1.5,August,30,2022
1.4,July,6,2022
1.3,June,13,2022
1.2,June,6,2022
1.1,April,12,2022
1.0,February,15,2022
0.42,October,25,2021
0.41,September,7,2021
0.40,September,2,2021
0.39,August,31,2021
0.38,August,30,2021
0.37,August,27,2021
0.36,August,26,2021
0.35,August,25,2021
0.34,August,24,2021
0.33,January,17,2020
0.32,January,2,2020
0.31,December,12,2019
0.30,November,27,2019
0.29,November,21,2019
0.28,November,15,2019
0.27,November,14,2019
0.26,November,13,2019
0.25,September,25,2019
0.24,September,16,2019
0.23,September,13,2019
0.22,September,12,2019
0.21,September,9,2019
0.20,September,8,2019
0.19,September,6,2019
0.18,September,5,2019
0.17,September,3,2019
0.16,September,2,2019
0.15,August,30,2019
0.14,August,28,2019
0.13,August,28,2019
0.12,August,27,2019
0.11,August,26,2019
0.10,August,24,2019
0.9,August,24,2019
0.8,August,24,2019
0.7,August,23,2019
0.6,August,23,2019
