version,month,day,year
13.19,February,11,2025
13.18,December,17,2024
13.17,October,21,2024
13.16,September,12,2024
13.15,July,2,2024
13.14,May,16,2024
13.13,May,13,2024
13.12,March,11,2024
13.11,January,25,2024
13.10,December,21,2023
13.9,December,14,2023
13.8,October,10,2023
13.7,October,6,2023
13.6,July,24,2023
13.5,May,31,2023
13.4,May,31,2023
13.3,April,24,2023
13.2,February,27,2023
13.1,January,18,2023
13.0,November,16,2022
12.16,October,13,2022
12.15,September,27,2022
12.14,August,2,2022
12.13,June,27,2022
12.12,June,20,2022
12.11,April,27,2022
12.10,April,27,2022
12.9,March,8,2022
12.8,March,1,2022
12.7,February,1,2022
12.6,December,16,2021
12.5,December,8,2021
12.4,November,22,2021
12.3,November,9,2021
12.2,November,8,2021
12.1,October,8,2021
12.0,October,7,2021
11.17,August,27,2021
11.16,August,24,2021
11.15,July,31,2021
11.14,July,27,2021
11.13,July,26,2021
11.12,June,14,2021
11.11,April,20,2021
11.10,April,5,2021
11.9,January,27,2021
11.8,November,19,2020
11.7,October,28,2020
11.6,September,16,2020
11.5,September,14,2020
11.4,August,28,2020
11.3,August,26,2020
11.2,July,10,2020
11.1,July,8,2020
11.0,July,2,2020
10.15,May,19,2020
10.14,April,22,2020
10.13,April,14,2020
10.12,April,13,2020
10.11,March,11,2020
10.10,January,20,2020
10.9,January,8,2020
10.8,January,7,2020
10.7,November,19,2019
10.6,October,8,2019
10.5,October,1,2019
10.4,October,1,2019
10.3,September,30,2019
10.2,September,30,2019
10.1,September,10,2019
10.0,September,9,2019
9.10,July,9,2019
9.9,June,7,2019
9.8,May,22,2019
9.7,March,28,2019
9.6,March,26,2019
9.5,February,13,2019
9.4,February,12,2019
9.3,January,7,2019
9.2,December,20,2018
9.1,November,26,2018
9.0,November,13,2018
8.9,October,10,2018
8.8,October,5,2018
8.7,September,10,2018
8.6,September,3,2018
8.5,August,15,2018
8.4,August,13,2018
8.3,June,6,2018
8.2,April,11,2018
8.1,February,20,2018
8.0,February,14,2018
7.16,December,20,2017
7.15,December,13,2017
7.14,November,3,2017
7.13,October,31,2017
7.12,October,27,2017
7.11,September,14,2017
7.10,May,26,2017
7.9,April,11,2017
7.8,March,21,2017
7.7,February,14,2017
7.6,January,27,2017
7.5,January,20,2017
7.4,December,29,2016
7.3,December,26,2016
7.2,December,24,2016
7.1,December,23,2016
7.0,December,16,2016
6.12,October,18,2016
6.11,October,2,2016
6.10,September,28,2016
6.9,September,16,2016
6.8,August,23,2016
6.7,August,4,2016
6.6,July,29,2016
6.5,July,28,2016
6.4,July,26,2016
6.3,July,11,2016
6.2,June,4,2016
6.1,June,3,2016
6.0,June,3,2016
5.10,April,26,2016
5.9,April,8,2016
5.8,February,27,2016
5.7,January,9,2016
5.6,January,5,2016
5.5,October,24,2015
5.4,October,16,2015
5.3,October,15,2015
5.2,September,5,2015
5.1,August,18,2015
5.0,August,13,2015
4.9,May,14,2015
4.8,May,9,2015
4.7,April,16,2015
4.6,March,14,2015
4.5,March,10,2015
4.4,January,27,2015
4.3,January,3,2015
3.8,November,11,2014
3.7,November,9,2014
3.6,November,4,2014
3.5,August,24,2014
3.4,August,16,2014
3.3,August,14,2014
3.2,July,13,2014
3.1,June,23,2014
3.0,June,21,2014
2.16,April,27,2014
2.15,April,14,2014
2.14,April,5,2014
2.13,March,31,2014
2.12,January,5,2014
2.11,January,5,2014
2.10,December,26,2013
2.9,December,9,2013
2.8,December,9,2013
2.7,December,2,2013
2.6,November,16,2013
2.5,November,1,2013
2.4,October,22,2013
2.3,October,19,2013
2.2,October,15,2013
2.1,October,12,2013
2.0,October,6,2013
1.3,September,21,2013
1.2,September,17,2013
1.1,September,6,2013
1.0,August,26,2013
